name,neighbourhood_cleansed,room_type,price,review_scores_rating,number_of_reviews,latitude,longitude,minimum_nights,accommodates
"romantic studio, garden, parking 1",Campo di Marte,Entire home/apt,$90.00,4.67,149,43.79036,11.27279,5,4
Beautiful apartment Bellavista,Centro Storico,Entire home/apt,$272.00,4.71,346,43.77669,11.26189,2,10
Dimora Dionisio B&B,Centro Storico,Private room,$104.00,4.79,513,43.77414,11.2433,1,3
Art gallery and charming home in San Frediano,Centro Storico,Entire home/apt,$251.00,4.75,333,43.76776,11.24238,2,4
Cozy Vintage Penthouse Uffizi Museum,Centro Storico,Entire home/apt,$131.00,4.76,119,43.76961,11.25655,4,2
Magnolia - Large and comfortable studio flat,Centro Storico,Entire home/apt,$75.00,4.87,202,43.77826,11.23936,2,2
Double room and private bath.,Campo di Marte,Private room,$45.00,4.62,480,43.78793,11.27063,1,3
San  Marco Patio - Cathedral view,Centro Storico,Entire home/apt,$112.00,4.79,48,43.77763,11.25865,2,4
Charming  suite apartment in the heart of Florence,Centro Storico,Entire home/apt,$143.00,4.91,149,43.77329,11.26305,3,2
"NICE house, CLOSE central (5min BUS, 20m on foot)",Gavinana Galluzzo,Entire home/apt,$107.00,4.84,165,43.76133,11.28401,1,4
"AFFORDABLE, BREATHTAKING DUOMO",Centro Storico,Entire home/apt,$140.00,4.84,596,43.7731,11.25701,2,4
GHIBELLINO - Elegant loft with frescoed ceilings,Centro Storico,Entire home/apt,$195.00,4.84,61,43.77037,11.26103,5,4
La Gabbia del Grillo <Anny> (A-10),Centro Storico,Entire home/apt,$203.00,4.84,310,43.77317,11.25898,1,2
Picturesque Double room in Florence,Centro Storico,Private room,$85.00,4.83,287,43.78017,11.24449,31,2
Charming Apartment close to centre,Campo di Marte,Entire home/apt,$106.00,4.73,83,43.77611,11.27172,1,5
Venere Room with kitchenette and private bathroom,Centro Storico,Private room,$151.00,4.21,93,43.77945,11.25338,2,2
Camera vista Santa Maria Novella,Centro Storico,Private room,$155.00,4.59,41,43.77749,11.25253,2,3
Casa Giselle,Centro Storico,Entire home/apt,$105.00,4.61,57,43.77465057373047,11.246854782104492,2,3
family room in historical center,Centro Storico,Private room,$166.00,4.33,33,43.77953,11.25352,2,3
"The delightful yellow Penthouse, Florence",Centro Storico,Entire home/apt,$127.00,4.83,300,43.77861,11.24985,2,6
Suite panoramic terrace Florence,Centro Storico,Entire home/apt,$211.00,4.8,400,43.76615,11.25612,3,4
BOSI'S ART HOUSE - 5 mins to center,Isolotto Legnaia,Entire home/apt,$89.00,4.81,140,43.77599,11.22245,3,4
Top Luxury Apartment with terrace in Ponte Vecchio,Centro Storico,Entire home/apt,$303.00,4.94,252,43.76811,11.24994,2,5
Pitti apartment in the city center,Centro Storico,Entire home/apt,,4.83,153,43.75934,11.25398,31,2
Loft for 4 person wifi and parking,Gavinana Galluzzo,Entire home/apt,$120.00,1.0,1,43.7516,11.23968,365,2
Via Maggio 2bedroom,Centro Storico,Entire home/apt,,4.75,4,43.76719,11.24919,31,4
Very Nice Room near the Dome of Florence,Centro Storico,Private room,$50.00,4.65,132,43.77335,11.25991,2,2
Cozy Hideaway in the City Center,Centro Storico,Entire home/apt,,4.66,118,43.77069091796875,11.250544548034668,2,2
Pandolfini Street 1b near SANTA CROCE,Centro Storico,Entire home/apt,$339.00,4.43,7,43.77089,11.261,3,4
Cozy flat nearby historic centre,Campo di Marte,Entire home/apt,$84.00,4.83,309,43.76989,11.27657,3,6
Loft in down town also for smart co/working,Centro Storico,Entire home/apt,$250.00,4.81,182,43.76598,11.24532,31,4
"Flowers' Suite, 1 bedroom, front MedicI Chapel",Centro Storico,Entire home/apt,$155.00,4.94,126,43.77482,11.25249,3,5
"Ponte Vecchio view to sun, Florence",Centro Storico,Entire home/apt,$104.00,4.59,386,43.76838,11.25425,2,3
"Blue Sky Suite, 1 bedroom, front Medici Chapel",Centro Storico,Entire home/apt,$162.00,4.95,172,43.77482,11.25249,3,4
